Round,Time,TotalEnergy,AliveNodes,DeadNodes,AvgEnergy
1,774,49.9775,100,0,0.499775
2,1548,49.8805,100,0,0.498805
3,2322,49.8018,100,0,0.498018
4,3096,49.7313,100,0,0.497313
5,3870,49.6555,100,0,0.496555
6,4644,49.6015,100,0,0.496015
7,5418,49.5155,100,0,0.495155
8,6192,49.4484,100,0,0.494484
9,6966,49.3582,100,0,0.493582
10,7740,49.2663,100,0,0.492663
11,8514,49.2057,100,0,0.492057
12,9288,49.1385,100,0,0.491385
13,10062,49.0846,100,0,0.490846
14,10836,48.9935,100,0,0.489935
15,11610,48.9045,100,0,0.489045
16,12384,48.8193,100,0,0.488193
17,13158,48.7341,100,0,0.487341
18,13932,48.6827,100,0,0.486827
19,14706,48.6303,100,0,0.486303
20,15480,48.54,100,0,0.4854
21,16254,48.4399,100,0,0.484399
22,17028,48.3727,100,0,0.483727
23,17802,48.3222,100,0,0.483222
24,18576,48.2721,100,0,0.482721
25,19350,48.1819,100,0,0.481819
26,20124,48.0907,100,0,0.480907
27,20898,47.9928,100,0,0.479928
28,21672,47.9129,100,0,0.479129
29,22446,47.8652,100,0,0.478652
30,23220,47.7744,100,0,0.477744
31,23994,47.6612,100,0,0.476612
32,24768,47.5714,100,0,0.475714
33,25542,47.5186,100,0,0.475186
34,26316,47.4179,100,0,0.474179
35,27090,47.3509,100,0,0.473509
36,27864,47.269,100,0,0.47269
37,28638,47.2073,100,0,0.472073
38,29412,47.1466,100,0,0.471466
39,30186,47.06,100,0,0.4706
40,30960,46.9651,100,0,0.469651
41,31734,46.8952,100,0,0.468952
42,32508,46.8062,100,0,0.468062
43,33282,46.7251,100,0,0.467251
44,34056,46.6472,100,0,0.466472
45,34830,46.5841,100,0,0.465841
46,35604,46.5253,100,0,0.465253
47,36378,46.4268,100,0,0.464268
48,37152,46.34,100,0,0.4634
49,37926,46.2521,100,0,0.462521
50,38700,46.204,100,0,0.46204
51,39474,46.1452,100,0,0.461452
52,40248,46.0832,100,0,0.460832
53,41022,46.0091,100,0,0.460091
54,41796,45.9194,100,0,0.459194
55,42570,45.8374,100,0,0.458374
56,43344,45.7582,100,0,0.457582
57,44118,45.6702,100,0,0.456702
58,44892,45.589,100,0,0.45589
59,45666,45.526,100,0,0.45526
60,46440,45.4465,100,0,0.454465
61,47214,45.3706,100,0,0.453706
62,47988,45.3036,100,0,0.453036
63,48762,45.2314,100,0,0.452314
64,49536,45.1353,100,0,0.451353
65,50310,45.0703,100,0,0.450703
66,51084,45.0057,100,0,0.450057
67,51858,44.9379,100,0,0.449379
68,52632,44.8513,100,0,0.448513
69,53406,44.747,100,0,0.44747
70,54180,44.6689,100,0,0.446689
71,54954,44.5897,100,0,0.445897
72,55728,44.5176,100,0,0.445176
73,56502,44.4544,100,0,0.444544
74,57276,44.3809,100,0,0.443809
75,58050,44.3259,100,0,0.443259
76,58824,44.2569,100,0,0.442569
77,59598,44.1592,100,0,0.441592
78,60372,44.0691,100,0,0.440691
79,61146,43.9853,100,0,0.439853
80,61920,43.9009,100,0,0.439009
81,62694,43.8326,100,0,0.438326
82,63468,43.7481,100,0,0.437481
83,64242,43.6959,100,0,0.436959
84,65016,43.6402,100,0,0.436402
85,65790,43.5917,100,0,0.435917
86,66564,43.5375,100,0,0.435375
87,67338,43.4138,100,0,0.434138
88,68112,43.3307,100,0,0.433307
89,68886,43.2598,100,0,0.432598
90,69660,43.1773,100,0,0.431773
91,70434,43.0851,100,0,0.430851
92,71208,42.999,100,0,0.42999
93,71982,42.9227,100,0,0.429227
94,72756,42.8419,100,0,0.428419
95,73530,42.7831,100,0,0.427831
96,74304,42.7132,100,0,0.427132
97,75078,42.6246,100,0,0.426246
98,75852,42.5543,100,0,0.425543
99,76626,42.4729,100,0,0.424729
100,77400,42.3904,100,0,0.423904
101,78174,42.32,100,0,0.4232
102,78948,42.2239,100,0,0.422239
103,79722,42.1583,100,0,0.421583
104,80496,42.0906,100,0,0.420906
105,81270,42.0264,100,0,0.420264
106,82044,41.948,100,0,0.41948
107,82818,41.8875,100,0,0.418875
108,83592,41.8134,100,0,0.418134
109,84366,41.745,100,0,0.41745
110,85140,41.6378,100,0,0.416378
111,85914,41.5398,100,0,0.415398
112,86688,41.4684,100,0,0.414684
113,87462,41.4156,100,0,0.414156
114,88236,41.3511,100,0,0.413511
115,89010,41.2593,100,0,0.412593
116,89784,41.1779,100,0,0.411779
117,90558,41.0843,100,0,0.410843
118,91332,41.0316,100,0,0.410316
119,92106,40.9359,100,0,0.409359
120,92880,40.8365,100,0,0.408365
121,93654,40.7777,100,0,0.407777
122,94428,40.6939,100,0,0.406939
123,95202,40.597,100,0,0.40597
124,95976,40.5489,100,0,0.405489
125,96750,40.4741,100,0,0.404741
126,97524,40.3754,100,0,0.403754
127,98298,40.2968,100,0,0.402968
128,99072,40.2349,100,0,0.402349
129,99846,40.1704,100,0,0.401704
130,100620,40.0947,100,0,0.400947
131,101394,40.0121,100,0,0.400121
132,102168,39.9497,100,0,0.399497
133,102942,39.8857,100,0,0.398857
134,103716,39.8134,100,0,0.398134
135,104490,39.7323,100,0,0.397323
136,105264,39.652,100,0,0.39652
137,106038,39.5586,100,0,0.395586
138,106812,39.4709,100,0,0.394709
139,107586,39.3747,100,0,0.393747
140,108360,39.3004,100,0,0.393004
141,109134,39.2455,100,0,0.392455
142,109908,39.1831,100,0,0.391831
143,110682,39.0821,100,0,0.390821
144,111456,38.998,100,0,0.38998
145,112230,38.9099,100,0,0.389099
146,113004,38.8271,100,0,0.388271
147,113778,38.7973,100,0,0.387973
148,114552,38.7398,100,0,0.387398
149,115326,38.6644,100,0,0.386644
150,116100,38.5914,100,0,0.385914
151,116874,38.4816,100,0,0.384816
152,117648,38.4107,100,0,0.384107
153,118422,38.3366,100,0,0.383366
154,119196,38.2836,100,0,0.382836
155,119970,38.1932,100,0,0.381932
156,120744,38.1206,100,0,0.381206
157,121518,38.052,100,0,0.38052
158,122292,37.9778,100,0,0.379778
159,123066,37.8862,100,0,0.378862
160,123840,37.8022,100,0,0.378022
161,124614,37.739,100,0,0.37739
162,125388,37.6729,100,0,0.376729
163,126162,37.605,100,0,0.37605
164,126936,37.5232,100,0,0.375232
165,127710,37.4182,100,0,0.374182
166,128484,37.3263,100,0,0.373263
167,129258,37.2772,100,0,0.372772
168,130032,37.2006,100,0,0.372006
169,130806,37.1316,100,0,0.371316
170,131580,37.0528,100,0,0.370528
171,132354,36.9563,100,0,0.369563
172,133128,36.8751,100,0,0.368751
173,133902,36.7582,100,0,0.367582
174,134676,36.6571,100,0,0.366571
175,135450,36.5978,100,0,0.365978
176,136224,36.5233,100,0,0.365233
177,136998,36.4485,100,0,0.364485
178,137772,36.3858,100,0,0.363858
179,138546,36.3473,100,0,0.363473
180,139320,36.2714,100,0,0.362714
181,140094,36.1919,100,0,0.361919
182,140868,36.1375,100,0,0.361375
183,141642,36.0895,100,0,0.360895
184,142416,36.0374,100,0,0.360374
185,143190,35.9593,100,0,0.359593
186,143964,35.8664,100,0,0.358664
187,144738,35.7656,100,0,0.357656
188,145512,35.6806,100,0,0.356806
189,146286,35.5839,100,0,0.355839
190,147060,35.4894,100,0,0.354894
191,147834,35.43,100,0,0.3543
192,148608,35.3909,100,0,0.353909
193,149382,35.3239,100,0,0.353239
194,150156,35.2481,100,0,0.352481
195,150930,35.1607,100,0,0.351607
196,151704,35.0983,100,0,0.350983
197,152478,35.0313,100,0,0.350313
198,153252,34.9227,100,0,0.349227
199,154026,34.8364,100,0,0.348364
200,154800,34.7507,100,0,0.347507
201,155574,34.6731,100,0,0.346731
202,156348,34.5831,100,0,0.345831
203,157122,34.515,100,0,0.34515
204,157896,34.4606,100,0,0.344606
205,158670,34.3838,100,0,0.343838
206,159444,34.2695,100,0,0.342695
207,160218,34.1885,100,0,0.341885
208,160992,34.1004,100,0,0.341004
209,161766,34.0484,100,0,0.340484
210,162540,33.9981,100,0,0.339981
211,163314,33.9288,100,0,0.339288
212,164088,33.8732,100,0,0.338732
213,164862,33.8048,100,0,0.338048
214,165636,33.7375,100,0,0.337375
215,166410,33.6737,100,0,0.336737
216,167184,33.5916,100,0,0.335916
217,167958,33.4845,100,0,0.334845
218,168732,33.3886,100,0,0.333886
219,169506,33.3088,100,0,0.333088
220,170280,33.2307,100,0,0.332307
221,171054,33.1339,100,0,0.331339
222,171828,33.036,100,0,0.33036
223,172602,32.9492,100,0,0.329492
224,173376,32.8801,100,0,0.328801
225,174150,32.8044,100,0,0.328044
226,174924,32.7472,100,0,0.327472
227,175698,32.6416,100,0,0.326416
228,176472,32.5918,100,0,0.325918
229,177246,32.5429,100,0,0.325429
230,178020,32.4796,100,0,0.324796
231,178794,32.4078,100,0,0.324078
232,179568,32.3159,100,0,0.323159
233,180342,32.2131,100,0,0.322131
234,181116,32.1367,100,0,0.321367
235,181890,32.05,100,0,0.3205
236,182664,31.9843,100,0,0.319843
237,183438,31.9377,100,0,0.319377
238,184212,31.8574,100,0,0.318574
239,184986,31.786,100,0,0.31786
240,185760,31.7035,100,0,0.317035
241,186534,31.6196,100,0,0.316196
242,187308,31.534,100,0,0.31534
243,188082,31.4727,100,0,0.314727
244,188856,31.4197,100,0,0.314197
245,189630,31.3625,100,0,0.313625
246,190404,31.2537,100,0,0.312537
247,191178,31.1762,100,0,0.311762
248,191952,31.1116,100,0,0.311116
249,192726,31.0665,100,0,0.310665
250,193500,30.9604,100,0,0.309604
251,194274,30.8632,100,0,0.308632
252,195048,30.8058,100,0,0.308058
253,195822,30.7136,100,0,0.307136
254,196596,30.6302,100,0,0.306302
255,197370,30.5812,100,0,0.305812
256,198144,30.4963,100,0,0.304963
257,198918,30.4088,100,0,0.304088
258,199692,30.3171,100,0,0.303171
259,200466,30.2463,100,0,0.302463
260,201240,30.1676,100,0,0.301676
261,202014,30.0872,100,0,0.300872
262,202788,30.0026,100,0,0.300026
263,203562,29.9234,100,0,0.299234
264,204336,29.8464,100,0,0.298464
265,205110,29.783,100,0,0.29783
266,205884,29.6889,100,0,0.296889
267,206658,29.6273,100,0,0.296273
268,207432,29.5462,100,0,0.295462
269,208206,29.4735,100,0,0.294735
270,208980,29.4023,100,0,0.294023
271,209754,29.324,100,0,0.29324
272,210528,29.2435,100,0,0.292435
273,211302,29.1469,100,0,0.291469
274,212076,29.0481,100,0,0.290481
275,212850,28.977,100,0,0.28977
276,213624,28.9043,100,0,0.289043
277,214398,28.8399,100,0,0.288399
278,215172,28.7741,100,0,0.287741
279,215946,28.6909,100,0,0.286909
280,216720,28.6068,100,0,0.286068
281,217494,28.5396,100,0,0.285396
282,218268,28.4572,100,0,0.284572
283,219042,28.3853,100,0,0.283853
284,219816,28.3069,100,0,0.283069
285,220590,28.2307,100,0,0.282307
286,221364,28.1431,100,0,0.281431
287,222138,28.0818,100,0,0.280818
288,222912,27.9862,100,0,0.279862
289,223686,27.9164,100,0,0.279164
290,224460,27.8184,100,0,0.278184
291,225234,27.75,100,0,0.2775
292,226008,27.6641,100,0,0.276641
293,226782,27.5903,100,0,0.275903
294,227556,27.4914,100,0,0.274914
295,228330,27.4122,100,0,0.274122
296,229104,27.3319,100,0,0.273319
297,229878,27.2794,100,0,0.272794
298,230652,27.2004,100,0,0.272004
299,231426,27.1184,100,0,0.271184
300,232200,27.0767,100,0,0.270767
301,232974,26.9964,100,0,0.269964
302,233748,26.9464,100,0,0.269464
303,234522,26.887,100,0,0.26887
304,235296,26.8262,100,0,0.268262
305,236070,26.7562,100,0,0.267562
306,236844,26.6644,100,0,0.266644
307,237618,26.5678,100,0,0.265678
308,238392,26.4851,100,0,0.264851
309,239166,26.4058,100,0,0.264058
310,239940,26.3434,100,0,0.263434
311,240714,26.2372,100,0,0.262372
312,241488,26.1348,100,0,0.261348
313,242262,26.0719,100,0,0.260719
314,243036,26.0081,100,0,0.260081
315,243810,25.9502,100,0,0.259502
316,244584,25.8631,100,0,0.258631
317,245358,25.8037,100,0,0.258037
318,246132,25.7282,100,0,0.257282
319,246906,25.6621,100,0,0.256621
320,247680,25.5862,100,0,0.255862
321,248454,25.5024,100,0,0.255024
322,249228,25.4452,100,0,0.254452
323,250002,25.3837,100,0,0.253837
324,250776,25.2949,100,0,0.252949
325,251550,25.2212,100,0,0.252212
326,252324,25.1319,100,0,0.251319
327,253098,25.0366,100,0,0.250366
328,253872,24.9431,100,0,0.249431
329,254646,24.877,100,0,0.24877
330,255420,24.8237,100,0,0.248237
331,256194,24.7349,100,0,0.247349
332,256968,24.6431,100,0,0.246431
333,257742,24.5698,100,0,0.245698
334,258516,24.4741,100,0,0.244741
335,259290,24.3907,100,0,0.243907
336,260064,24.3138,100,0,0.243138
337,260838,24.2315,100,0,0.242315
338,261612,24.1406,100,0,0.241406
339,262386,24.0886,100,0,0.240886
340,263160,24.0403,100,0,0.240403
341,263934,23.9837,100,0,0.239837
342,264708,23.9307,100,0,0.239307
343,265482,23.864,100,0,0.23864
344,266256,23.7994,100,0,0.237994
345,267030,23.73,100,0,0.2373
346,267804,23.6529,100,0,0.236529
347,268578,23.5626,100,0,0.235626
348,269352,23.48,100,0,0.2348
349,270126,23.3986,100,0,0.233986
350,270900,23.2961,100,0,0.232961
351,271674,23.2156,100,0,0.232156
352,272448,23.1418,100,0,0.231418
353,273222,23.0776,100,0,0.230776
354,273996,22.9977,100,0,0.229977
355,274770,22.9116,100,0,0.229116
356,275544,22.793,100,0,0.22793
357,276318,22.7468,100,0,0.227468
358,277092,22.674,100,0,0.22674
359,277866,22.5922,100,0,0.225922
360,278640,22.5081,100,0,0.225081
361,279414,22.4544,100,0,0.224544
362,280188,22.4016,100,0,0.224016
363,280962,22.3072,100,0,0.223072
364,281736,22.2492,100,0,0.222492
365,282510,22.1864,100,0,0.221864
366,283284,22.1148,100,0,0.221148
367,284058,22.0264,100,0,0.220264
368,284832,21.9642,100,0,0.219642
369,285606,21.8829,100,0,0.218829
370,286380,21.8001,100,0,0.218001
371,287154,21.6897,100,0,0.216897
372,287928,21.6035,100,0,0.216035
373,288702,21.5296,100,0,0.215296
374,289476,21.4838,100,0,0.214838
375,290250,21.3939,100,0,0.213939
376,291024,21.3013,100,0,0.213013
377,291798,21.2282,100,0,0.212282
378,292572,21.1412,100,0,0.211412
379,293346,21.0665,100,0,0.210665
380,294120,20.9916,100,0,0.209916
381,294894,20.9359,100,0,0.209359
382,295668,20.8599,100,0,0.208599
383,296442,20.814,100,0,0.20814
384,297216,20.7413,100,0,0.207413
385,297990,20.6609,100,0,0.206609
386,298764,20.5665,100,0,0.205665
387,299538,20.4989,100,0,0.204989
388,300312,20.4169,100,0,0.204169
389,301086,20.3272,100,0,0.203272
390,301860,20.2442,100,0,0.202442
391,302634,20.1755,100,0,0.201755
392,303408,20.0992,100,0,0.200992
393,304182,20.0378,100,0,0.200378
394,304956,19.9648,100,0,0.199648
395,305730,19.8946,100,0,0.198946
396,306504,19.85,100,0,0.1985
397,307278,19.7602,100,0,0.197602
398,308052,19.6839,100,0,0.196839
399,308826,19.5925,100,0,0.195925
400,309600,19.4934,100,0,0.194934
401,310374,19.4173,100,0,0.194173
402,311148,19.3427,100,0,0.193427
403,311922,19.2669,100,0,0.192669
404,312696,19.183,100,0,0.19183
405,313470,19.0813,100,0,0.190813
406,314244,19.0273,100,0,0.190273
407,315018,18.9291,100,0,0.189291
408,315792,18.8612,100,0,0.188612
409,316566,18.7704,100,0,0.187704
410,317340,18.7079,100,0,0.187079
411,318114,18.6602,100,0,0.186602
412,318888,18.573,100,0,0.18573
413,319662,18.5082,100,0,0.185082
414,320436,18.4308,100,0,0.184308
415,321210,18.3611,100,0,0.183611
416,321984,18.2619,100,0,0.182619
417,322758,18.1663,100,0,0.181663
418,323532,18.1105,100,0,0.181105
419,324306,18.0603,100,0,0.180603
420,325080,17.9903,100,0,0.179903
421,325854,17.9071,100,0,0.179071
422,326628,17.8163,100,0,0.178163
423,327402,17.7395,100,0,0.177395
424,328176,17.6884,100,0,0.176884
425,328950,17.6186,100,0,0.176186
426,329724,17.5477,100,0,0.175477
427,330498,17.4813,100,0,0.174813
428,331272,17.3971,100,0,0.173971
429,332046,17.3357,100,0,0.173357
430,332820,17.2483,100,0,0.172483
431,333594,17.1475,100,0,0.171475
432,334368,17.0463,100,0,0.170463
433,335142,16.9727,100,0,0.169727
434,335916,16.9008,100,0,0.169008
435,336690,16.831,100,0,0.16831
436,337464,16.7278,100,0,0.167278
437,338238,16.6544,100,0,0.166544
438,339012,16.5786,100,0,0.165786
439,339786,16.5113,100,0,0.165113
440,340560,16.4408,100,0,0.164408
441,341334,16.3795,100,0,0.163795
442,342108,16.3061,100,0,0.163061
443,342882,16.2254,100,0,0.162254
444,343656,16.1388,100,0,0.161388
445,344430,16.0536,100,0,0.160536
446,345204,15.9473,100,0,0.159473
447,345978,15.87,100,0,0.1587
448,346752,15.7984,100,0,0.157984
449,347526,15.721,100,0,0.15721
450,348300,15.6551,100,0,0.156551
451,349074,15.6047,100,0,0.156047
452,349848,15.5179,100,0,0.155179
453,350622,15.4226,100,0,0.154226
454,351396,15.3465,100,0,0.153465
455,352170,15.2495,100,0,0.152495
456,352944,15.1833,100,0,0.151833
457,353718,15.1195,100,0,0.151195
458,354492,15.064,100,0,0.15064
459,355266,14.9978,100,0,0.149978
460,356040,14.909,100,0,0.14909
461,356814,14.8524,100,0,0.148524
462,357588,14.7884,100,0,0.147884
